Model,Fold,n_test,MAE,RMSE,R2
Linear Regression,1,38,221.8149,821.8093,-28.458
Linear Regression,2,38,36.1167,85.7529,0.7689
Linear Regression,3,38,212.4626,899.2257,-43.8403
Linear Regression,4,38,64.7618,137.2543,-0.8979
Linear Regression,5,37,32.8011,62.6421,0.8617
Decision Tree,1,38,38.2472,96.1024,0.5972
Decision Tree,2,38,50.5041,126.6791,0.4957
Decision Tree,3,38,48.8823,106.1524,0.3751
Decision Tree,4,38,35.3552,60.4047,0.6324
Decision Tree,5,37,59.3343,135.9456,0.3486
Random Forest,1,38,73.3696,131.445,0.2464
Random Forest,2,38,94.0691,166.8436,0.1252
Random Forest,3,38,68.3054,115.0298,0.2662
Random Forest,4,38,51.1636,76.9303,0.4038
Random Forest,5,37,83.9427,156.3059,0.1389
XGBoost,1,38,24.4099,53.2507,0.8763
XGBoost,2,38,57.0491,132.967,0.4444
XGBoost,3,38,50.0656,111.8552,0.3062
XGBoost,4,38,24.6702,42.2617,0.8201
XGBoost,5,37,35.9948,79.5012,0.7772
SVR,1,38,52.014,119.071,0.3816
SVR,2,38,49.6292,121.9652,0.5325
SVR,3,38,57.3764,121.7087,0.1786
SVR,4,38,40.584,80.699,0.3439
SVR,5,37,40.9041,77.9618,0.7858
