grade,scenario,ggbs_pct,total_volume_m3,baseline_ef_kgCO2e_m3,adjusted_ef_kgCO2e_m3,carbon_saved_tCO2e,carbon_saved_pct
M5,A_baseline,0,4184.0,150.6,150.6,0.0,0.0
M5,B_30pct,30,4184.0,150.6,105.0,190.79,30.28
M5,C_50pct,50,4184.0,150.6,74.6,317.98,50.46
M10,A_baseline,0,9840.4,232.8,232.8,0.0,0.0
M10,B_30pct,30,9840.4,232.8,175.8,560.91,24.48
M10,C_50pct,50,9840.4,232.8,137.8,934.84,40.81
M15,A_baseline,0,1617.0,268.1,268.1,0.0,0.0
M15,B_30pct,30,1617.0,268.1,204.26,103.23,23.81
M15,C_50pct,50,1617.0,268.1,161.7,172.05,39.69
M20,A_baseline,0,230937.4,284.9,284.9,0.0,0.0
M20,B_30pct,30,230937.4,284.9,216.5,15796.12,24.01
M20,C_50pct,50,230937.4,284.9,170.9,26326.86,40.01
M25,A_baseline,0,15257.9,301.8,301.8,0.0,0.0
M25,B_30pct,30,15257.9,301.8,228.84,1113.22,24.17
M25,C_50pct,50,15257.9,301.8,180.2,1855.36,40.29
M30,A_baseline,0,217334.9,331.2,331.2,0.0,0.0
M30,B_30pct,30,217334.9,331.2,251.4,17343.32,24.09
M30,C_50pct,50,217334.9,331.2,198.2,28905.54,40.16
M35,A_baseline,0,14306.5,356.3,356.3,0.0,0.0
M35,B_30pct,30,14306.5,356.3,269.66,1239.51,24.32
M35,C_50pct,50,14306.5,356.3,211.9,2065.85,40.53
M40,A_baseline,0,23026.9,381.5,381.5,0.0,0.0
M40,B_30pct,30,23026.9,381.5,290.3,2100.05,23.91
M40,C_50pct,50,23026.9,381.5,229.5,3500.08,39.84
M45,A_baseline,0,6330.0,400.0,400.0,0.0,0.0
M45,B_30pct,30,6330.0,400.0,304.24,606.16,23.94
M45,C_50pct,50,6330.0,400.0,240.4,1010.27,39.9
M50,A_baseline,0,11810.9,420.0,420.0,0.0,0.0
M50,B_30pct,30,11810.9,420.0,317.4,1211.8,24.43
M50,C_50pct,50,11810.9,420.0,249.0,2019.67,40.71
